"from","to","strength"
"PSU_ID__digit_unique.x","EH__i_Wed_Gift__Pressure_cook",1
"PSU_ID__digit_unique.x","EH___Household_Toilet",1
"PSU_ID__digit_unique.x","EH__a_Electricity_hours",1
"PSU_ID__digit_unique.x","EH___HH_chulha_type",1
"PSU_ID__digit_unique.x","EH___Med_treatment_where",1
"PSU_ID__digit_unique.x","EH__m_Med_treatment_Month",1
"PSU_ID__digit_unique.x","EH___Belief_Male_sterilistn",1
"PSU_ID__digit_unique.x","EH__c_AIDS_Mosquito_bite",1
"PSU_ID__digit_unique.x","EH___Family_outing",1
"PSU_ID__digit_unique.x","EH__a_Family_bank_account",1
"PSU_ID__digit_unique.x","EH___Beat_leaves_no_permit",1
"PSU_ID__digit_unique.x","EH__g_LB_checkup_Nurse_ANM",1
"PSU_ID__digit_unique.x","EH__c_LB_delivery__Midwife",0.923076923076923
"PSU_ID__digit_unique.x","EH__b_LB_First_polio_time",1
"PSU_ID__digit_unique.x","EH___LB_Squeeze_milk",1
"PSU_ID__digit_unique.x","EH__f_NLB_checkup_Internal",1
"PSU_ID__digit_unique.x","EH__b_Obs__Stagnant_water",1
"PSU_ID__digit_unique.x","EH__a_STMorb_Meds_in_cost",1
"District_codes_with_names.x","State_code.x",1
"District_codes_with_names.x","Hsp__District_ID_Census_",1
"District_codes_with_names.x","Largest__metro_areas__.x",1
"District_codes_with_names.x","HH____Caste_religion_cats.x",1
"District_codes_with_names.x","HH___Tehsil_taluka_code",1
"District_codes_with_names.x","HH___Place_of_Origin",1
"District_codes_with_names.x","HH___Educ_head_s_father_husb",1
"District_codes_with_names.x","HH__b_Cash.Crop_rented_out",1
"District_codes_with_names.x","HH__b_Cash.Crop_rented_in",1
"District_codes_with_names.x","HH__b_Irrigation_type_",1
"District_codes_with_names.x","HH__b_Irrigation_type_.1",1
"District_codes_with_names.x","HH__b_Seeds_Homegrown",1
"District_codes_with_names.x","HH___Busns__Work_place.2",1
"District_codes_with_names.x","HH___Better_off_last__yrs",1
"District_codes_with_names.x","HH__a_Ration_card_type",1
"District_codes_with_names.x","HH__c_Ration_card_used",1
"District_codes_with_names.x","HH__d_Ration_card_no_use",1
"District_codes_with_names.x","HH___Ration_card_why_none",1
"District_codes_with_names.x","HH___KISAN_credit_card",1
"District_codes_with_names.x","HH___Radio_regular_Men",1
"District_codes_with_names.x","HH___TV_news_regular_Men",1
"District_codes_with_names.x","HH___Sugar__market_price",1
"District_codes_with_names.x","HH___Kerosene__market_price",1
"District_codes_with_names.x","HH___Kerosene__PDS_price",1
"District_codes_with_names.x","HH___Other_cereals__homegrown",1
"District_codes_with_names.x","HH___Other_cereals__price",1
"District_codes_with_names.x","HH___Own__Cycle_bicycle",1
"District_codes_with_names.x","HH___Own__Sewing_machine",1
"District_codes_with_names.x","HH___Own__Electric_fan",1
"District_codes_with_names.x","HH___Own__Chair_table",1
"District_codes_with_names.x","HH___Own__Cot",1
"District_codes_with_names.x","HH___Own__Pressure_cooker",1
"District_codes_with_names.x","HH__a_Yrs_ago_largest_loan",1
"District_codes_with_names.x","HH__d_Loan_source",1
"District_codes_with_names.x","HH__a_Debt_with_shopkeeper",1
"District_codes_with_names.x","HH__b_Netwk_Med_type",1
"District_codes_with_names.x","HH__d_Netwk_Med_Relation",1
"District_codes_with_names.x","HH__a_Netwk_School",1
"District_codes_with_names.x","HH__b_Netwk_School_type",1
"District_codes_with_names.x","HH__c_Netwk_School_Sex",1
"District_codes_with_names.x","HH__f_Netwk_School_Residence",1
"District_codes_with_names.x","HH__a_Netwk_Govt_service",1
"District_codes_with_names.x","HH__b_Netwk_Govt_type",1
"District_codes_with_names.x","HH___Member_Mahila_mandal",1
"District_codes_with_names.x","HH___Member_Youth_Sports_Read",1
"District_codes_with_names.x","HH___Member_Union_Busns",1
"District_codes_with_names.x","HH___Member_Self_Help",1
"District_codes_with_names.x","HH___Member_Credit_Savings",1
"District_codes_with_names.x","HH___Member_Relig_Social",1
"District_codes_with_names.x","HH___Member_Caste_Assoc",1
"District_codes_with_names.x","HH___Member_Cooperative",1
"District_codes_with_names.x","HH___Voted__election",1
"District_codes_with_names.x","HH___Official_in_panchayat",1
"District_codes_with_names.x","HH___Conflict_in_village",1
"District_codes_with_names.x","HH___Conflict_among_jatis",1
"District_codes_with_names.x","HH___Attack_threat",1
"District_codes_with_names.x","HH___Harassment_of_girls",1
"District_codes_with_names.x","HH___Confidence__Pols",1
"District_codes_with_names.x","HH___Confidence__Military",1
"District_codes_with_names.x","HH___Confidence__Police",1
"District_codes_with_names.x","HH___Confidence__State_govt",1
"District_codes_with_names.x","HH___Confidence__Newspapers",1
"District_codes_with_names.x","HH___Confidence__Panchayats",1
"District_codes_with_names.x","HH___Confidence__Schools",1
"District_codes_with_names.x","HH___Confidence__Medical",1
"District_codes_with_names.x","HH___Confidence__Courts",1
"District_codes_with_names.x","HH___Confidence__Banks",1
"District_codes_with_names.x","HH___Death___Sex",1
"District_codes_with_names.x","HH___Death___Rel_to_head.1",1
"District_codes_with_names.x","HH___Death___Sex.1",1
"District_codes_with_names.x","EH___Ch__School_enrolment",1
"District_codes_with_names.x","EH___Ch__Biased_Teacher",1
"District_codes_with_names.x","EH__b_Ch__Ever_beaten",1
"District_codes_with_names.x","EH___Ch__Average_student.1",1
"District_codes_with_names.x","EH__a_Ch__Ever_praised.1",1
"District_codes_with_names.x","EH__a_Wed_Gift__gold",1
"District_codes_with_names.x","EH__b_Wed_Gift__silver",1
"District_codes_with_names.x","EH__c_Wed_Gift__land",1
"District_codes_with_names.x","EH__e_Wed_Gift__scooter",1
"District_codes_with_names.x","EH__f_Wed_Gift__TV",1
"District_codes_with_names.x","EH__h_Wed_Gift__Furniture",1
"District_codes_with_names.x","EH__j_Wed_Gift__Utensils",1
"District_codes_with_names.x","EH__k_Wed_Gift__Mixer_Grinder",1
"District_codes_with_names.x","EH__l_Wed_Gift__Bedding",1
"District_codes_with_names.x","EH__m_Wed_Gift__Watch",1
"District_codes_with_names.x","EH__n_Wed_Gift__Bicycle",1
"District_codes_with_names.x","EH__o_Wed_Gift__Sewing_m_c",1
"District_codes_with_names.x","EH__p_Wed_Gift__Livestock",1
"District_codes_with_names.x","EH__r_Wed_Gift__Cash",0.923076923076923
"District_codes_with_names.x","EH___Water_source__usual",1
"District_codes_with_names.x","EH___Water_within_house",1
"District_codes_with_names.x","EH___Water_supply_hours",1
"District_codes_with_names.x","EH___Same_water_source_summer",1
"District_codes_with_names.x","EH___Water_source_summer",1
"District_codes_with_names.x","EH___Water_in_house_summer",1
"District_codes_with_names.x","EH___Water_Avail__usual",1
"District_codes_with_names.x","EH___Water_Avail__Summer",1
"District_codes_with_names.x","EH___Purify_water",1
"District_codes_with_names.x","EH__a_Drinking_water_storage",1
"District_codes_with_names.x","EH__b_Drinking_water_pouring",1
"District_codes_with_names.x","EH___Cooking_place",1
"District_codes_with_names.x","EH___Access_to_public_toilet",1
"District_codes_with_names.x","EH__a_Use_in_handwash",1
"District_codes_with_names.x","EH___Hours_burning_stove",1
"District_codes_with_names.x","EH___Firewood_use",1
"District_codes_with_names.x","EH__a_Firewood_source",1
"District_codes_with_names.x","EH___Dung_use",1
"District_codes_with_names.x","EH___Crop_residue_use",1
"District_codes_with_names.x","EH___Kerosene_use",1
"District_codes_with_names.x","EH__a_Kerosene_source",1
"District_codes_with_names.x","EH__a_LPG_source",1
"District_codes_with_names.x","EH__a_Coal__charcoal_source",1
"District_codes_with_names.x","EH___Med_treatment_who",1
"District_codes_with_names.x","EH___Illness_type",1
"District_codes_with_names.x","EH___Med_treatment_sex",1
"District_codes_with_names.x","EH___Doctor_s_behaviour",1
"District_codes_with_names.x","EH___Med_treat_accompanied",1
"District_codes_with_names.x","EH___EWoman__general_health",1
"District_codes_with_names.x","EH___Belief_Daily_milk",1
"District_codes_with_names.x","EH___Belief_Diarrhea",1
"District_codes_with_names.x","EH___Belief_Pregnancy",1
"District_codes_with_names.x","EH__e_AIDS_Food_sharing",1
"District_codes_with_names.x","EH___AIDS_Known_person",1
"District_codes_with_names.x","EH__b_Cooking_Husband",0.923076923076923
"District_codes_with_names.x","EH__e_Cooking_Other",1
"District_codes_with_names.x","EH__f_Cooking_No_One",1
"District_codes_with_names.x","EH__a_Purchase_Respondent",1
"District_codes_with_names.x","EH__d_N_children_Sr_female",1
"District_codes_with_names.x","EH__a_Child_ill_Respondent",1
"District_codes_with_names.x","EH__c_Child_ill_Sr_male",1
"District_codes_with_names.x","EH__e_Child_s_wed_Other",1
"District_codes_with_names.x","EH__e_Perm_others_health_centre",1
"District_codes_with_names.x","EH__f_Health_centre_alone",1
"District_codes_with_names.x","EH__a_Permission_Friend_home",1
"District_codes_with_names.x","EH__f_Visit_Friend_home_alone",1
"District_codes_with_names.x","EH__a_Permission_Kirana_shop",1
"District_codes_with_names.x","EH__f_Visit_Kirana_shop_alone",1
"District_codes_with_names.x","EH___Purdah_Practice",1
"District_codes_with_names.x","EH__s_Shopping_Respondent",1
"District_codes_with_names.x","EH__w_Shopping_Adult_women",1
"District_codes_with_names.x","EH__c_Shopping_Children",1
"District_codes_with_names.x","EH__s_Homework_Respondent",1
"District_codes_with_names.x","EH__m_Homework_Adult_men",1
"District_codes_with_names.x","EH__c_Homework_Children",1
"District_codes_with_names.x","EH___Family_meal_taking",1
"District_codes_with_names.x","EH___House_papers__Woman",1
"District_codes_with_names.x","EH___Girls_educatn_equal",1
"District_codes_with_names.x","EH__a_Discuss__Work_farm",1
"District_codes_with_names.x","EH__b_Discuss__Expenditure",1
"District_codes_with_names.x","EH__c_Discuss__Politics",1
"District_codes_with_names.x","EH___Natal_family_visit",1
"District_codes_with_names.x","EH___Natal_family_nearby",1
"District_codes_with_names.x","EH___Beat_if_no_dowry",1
"District_codes_with_names.x","EH___Beat_if_House_neglect",1
"District_codes_with_names.x","EH___Beat_if_bad_cooking",1
"District_codes_with_names.x","EH___Beat_if_extramarital",1
"District_codes_with_names.x","EH__d_Menarche_after_wed",1
"District_codes_with_names.x","EH___Knew_husb_before_wed",1
"District_codes_with_names.x","EH__a_Marriage_choice",1
"District_codes_with_names.x","EH__b_Choice_R_say",1
"District_codes_with_names.x","EH___Husband_same_vill",1
"District_codes_with_names.x","EH___Husband_same_caste",1
"District_codes_with_names.x","EH___Live_after_marriage",1
"District_codes_with_names.x","EH___Econ_stat_husb_fam",1
"District_codes_with_names.x","EH___st_marriage_Status",1
"District_codes_with_names.x","EH__a_Contraceptive_usage",1
"District_codes_with_names.x","EH__b_Contraception_Method",1
"District_codes_with_names.x","EH__c_Time_next_childbirth",1
"District_codes_with_names.x","EH__a_N_sons_ideally",1
"District_codes_with_names.x","EH__e_LB_checkup_Home",1
"District_codes_with_names.x","EH__f_LB_checkup_doctor",0.923076923076923
"District_codes_with_names.x","EH___LB_Visit_by_pubhealth",1
"District_codes_with_names.x","EH___LB_checkup_Months",1
"District_codes_with_names.x","EH__a_LB_checkup_Weight",1
"District_codes_with_names.x","EH__b_LB_checkup_BP",1
"District_codes_with_names.x","EH__c_LB_checkup_Blood_Test",1
"District_codes_with_names.x","EH__f_LB_checkup_Internal",1
"District_codes_with_names.x","EH__h_LB_checkup_Amnio",1
"District_codes_with_names.x","EH___LB_Sex_determination",1
"District_codes_with_names.x","EH__d_LB_prob__Fatigue",1
"District_codes_with_names.x","EH__e_LB_prob__Anaemia",1
"District_codes_with_names.x","EH___LB_Iron_tablets",1
"District_codes_with_names.x","EH___LB_N_TT_injections",1
"District_codes_with_names.x","EH___LB_Pre_delivery_home",1
"District_codes_with_names.x","EH___LB_Place_of_delivery",1
"District_codes_with_names.x","EH__b_LB_delivery__Nurse",1
"District_codes_with_names.x","EH__e_LB_delivery__Other",1
"District_codes_with_names.x","EH___LB_Size_of_child",1
"District_codes_with_names.x","EH___LB_Post_natal_checkup",1
"District_codes_with_names.x","EH__a_LB_Vaginal_bleeding",1
"District_codes_with_names.x","EH____LB_Immunization_card",1
"District_codes_with_names.x","EH____LB_Vacc_not_recorded",1
"District_codes_with_names.x","EH____LB_Vacc_No_card",1
"District_codes_with_names.x","EH____LB_._DPT_given",1
"District_codes_with_names.x","EH____LB_Vaccine_Centre",1
"District_codes_with_names.x","EH___LB_Breastfeeding_dur",1
"District_codes_with_names.x","EH__g_NLB_checkup_Nurse",1
"District_codes_with_names.x","EH___NLB_Health_worker",1
"District_codes_with_names.x","EH__e_NLB_checkup_Abdomen",1
"District_codes_with_names.x","EH__d_NLB_prob_Fatigue",1
"District_codes_with_names.x","EH__c_NLB_delivery_Midwife",1
"District_codes_with_names.x","EH____Obs__House_Type",1
"District_codes_with_names.x","EH__a_Obs__House_Excrement",1
"District_codes_with_names.x","EH___Obs__Animals_kept_in",1
"District_codes_with_names.x","EH___Obs__Wall_type",1
"District_codes_with_names.x","EH___Obs__Roof_type",1
"District_codes_with_names.x","EH___Obs__Floor_type",1
"District_codes_with_names.x","EH___Obs__Purpose",1
"District_codes_with_names.x","EH___Obs__Knows_expenditure",1
"District_codes_with_names.x","EH___Obs__Confidence",1
"District_codes_with_names.x","HH___NGOs_Rs",1
"District_codes_with_names.x","HH___Educ__ndary_class",1
"District_codes_with_names.x","HH___Educ__Degree_class",1
"District_codes_with_names.x","EH___Year_English_taught",1
"District_codes_with_names.x","EH___School_Hrs_week",1
"District_codes_with_names.x","EH___Days_month_absent",1
"District_codes_with_names.x","EH___School_fees_by_govt",1
"District_codes_with_names.x","EH___Scholarship",1
"District_codes_with_names.x","EH__a_STMorb_Days_ill",1
"District_codes_with_names.x","EH__a_Cough",1
"District_codes_with_names.x","EH__a_Diarrhoea",1
"District_codes_with_names.x","EH__a_Liquid_intake_if_Diarrhoea",1
"District_codes_with_names.x","EH___Other_long_term",1
"District_codes_with_names.x","EH___MJmorb_Days_Unable",1
"District_codes_with_names.x","EH___MJmorb_Meds_in_cost",1
"District_codes_with_names.x","EH___Difficulty_Walking_km",1
"District_codes_with_names.x","EH___Difficulty_Hearing",1
"District_codes_with_names.x","EH___Difficulty_Far_sight",1
"District_codes_with_names.x","EH___Tobacco__smoke",1
"District_codes_with_names.x","EH___Tobacco__chew",1
"District_codes_with_names.x","EH___Alcohol__drink",1
"District_codes_with_names.x","EH___Test_teacher_not_nice",1
"Hsp__District_ID_Census_","District_codes_with_names.x",1
"Hsp__District_ID_Census_","EH__b_Coal__charcoal_Rs",1
"Hsp__District_ID_Census_","District_ID_Census_",1
"Census___village_town.x","PSU_ID__digit_unique.x",1
"Census___village_town.x","HH___Occ_head_s_father_husb",1
"Census___village_town.x","HH__f_Own__Threshers",1
"Census___village_town.x","HH___Animal_care__Primary_ID.x",1
"Census___village_town.x","HH____Govt_housing",0.923076923076923
"Census___village_town.x","HH__a_Govt_housing_Built_Rs",0.923076923076923
"Census___village_town.x","HH___Kerosene__PDS_lts",1
"Census___village_town.x","HH___House_own_rent",1
"Census___village_town.x","HH__f_Netwk_Med_Residence",0.923076923076923
"Census___village_town.x","EH___Stratum_Number",1
"Census___village_town.x","EH_sch_Ch__School_code",1
"Census___village_town.x","EH___Ch__Local_teacher.1",1
"Census___village_town.x","EH__b_Firewood_Rs",1
"Census___village_town.x","EH__a_Dung_source",1
"Census___village_town.x","EH___Coal__charcoal_use",1
"Census___village_town.x","EH__a_AIDS_Sex",1
"Census___village_town.x","EH___NLB_checkup_Months",1
"Census___village_town.x","EH__a_STMorb_Where_st_treat",1
"Census___village_town.x","EH__a_STMorb_Where_nd_treat",1
"Largest__metro_areas__.x","District_codes_with_names.x",1
"Largest__metro_areas__.x","Largest__metro_areas__.y",1
"HH____Caste_religion_cats.x","HH___Caste_category",1
"HH____Caste_religion_cats.x","HH___Religion",1
"HH_EH__hh_goods_._housing.x","HH_ed_Highest_adult____educ.x",1
"HH_EH__hh_goods_._housing.x","HH___Main_income_source",1
"HH_EH__hh_goods_._housing.x","HH___Busns__Work_place.1",1
"HH_EH__hh_goods_._housing.x","HH___LIC_Life_insurance",1
"HH_EH__hh_goods_._housing.x","HH___TV_regular_Men",1
"HH_EH__hh_goods_._housing.x","HH___TV_regular_Women",1
"HH_EH__hh_goods_._housing.x","HH___Own__Sewing_machine",1
"HH_EH__hh_goods_._housing.x","HH___Own__Mixer_grinder",1
"HH_EH__hh_goods_._housing.x","HH___Own__Motor_cycle",1
"HH_EH__hh_goods_._housing.x","HH___Own__B_W_TV",1
"HH_EH__hh_goods_._housing.x","HH___Own__Colour_TV",1
"HH_EH__hh_goods_._housing.x","HH___Own__Air_cooler",1
"HH_EH__hh_goods_._housing.x","HH___Own__Clock_watch",1
"HH_EH__hh_goods_._housing.x","HH___Own__Electric_fan",1
"HH_EH__hh_goods_._housing.x","HH___Own__Chair_table",1
"HH_EH__hh_goods_._housing.x","HH___Own__Telephone",1
"HH_EH__hh_goods_._housing.x","HH___Own__Cell_phone",1
"HH_EH__hh_goods_._housing.x","HH___Own__Refrigerator",1
"HH_EH__hh_goods_._housing.x","HH___Own__Pressure_cooker",1
"HH_EH__hh_goods_._housing.x","HH___Own__Car",1
"HH_EH__hh_goods_._housing.x","HH___Own__Washing_machine",1
"HH_EH__hh_goods_._housing.x","HH___Own__Computer",1
"HH_EH__hh_goods_._housing.x","HH___Own__Credit_card",1
"HH_EH__hh_goods_._housing.x","HH___Death___Rel_to_head.2",1
"HH_EH__hh_goods_._housing.x","EH_sch_Ch__School_code",1
"HH_EH__hh_goods_._housing.x","EH___Ch__PTA_participation.1",1
"HH_EH__hh_goods_._housing.x","EH_sch_Ch__School_code.1",1
"HH_EH__hh_goods_._housing.x","EH___Water_within_house",1
"HH_EH__hh_goods_._housing.x","EH___Cooking_place",1
"HH_EH__hh_goods_._housing.x","EH__a_Use_in_handwash",1
"HH_EH__hh_goods_._housing.x","EH__b_Electricity_Payment",1
"HH_EH__hh_goods_._housing.x","EH___LPG_use",1
"HH_EH__hh_goods_._housing.x","Imputed_age_at_first_gauna",1
"HH_EH__hh_goods_._housing.x","HH___Meals_housing_job",1
"HH_EH__hh_goods_._housing.x","HH___Busns__days_yr",1
"HH_EH__hh_goods_._housing.x","HH___NGOs_ID",0.923076923076923
"HH_ed_Any_adult_in_hh_literate","HH_ed_Highest_adult____educ.x",1
"HH_ed_Any_adult_in_hh_literate","HH___Educ__Literacy",1
"HH_ed_Highest_adult____educ.x","HH_EH__hh_goods_._housing.x",1
"HH_ed_Highest_adult____educ.x","HH_ed_Any_adult_in_hh_literate",1
"HH_ed_Highest_adult____educ.x","HH_ed_Highest_female___ed.x",1
"HH_ed_Highest_adult____educ.x","HH_ed_Highest_male___ed.x",1
"HH_ed_Highest_adult____educ.x","HH___Newspaper_regular_Men",1
"HH_ed_Highest_adult____educ.x","HH___Educ__Completed_Years",1
"HH_ed_Highest_female___ed.x","HH_ed_Highest_male___ed.x",1
"HH_ed_Highest_female___ed.x","HH___Newspaper_regular_Women",1
"HH_ed_Highest_female___ed.x","EH___AIDS_Awareness",1
"HouseHold_question_pg___NHouseHold_question_any_work","HouseHold_question__pg_Q__NHouseHold_question_family_farm",1
"HouseHold_question_pg___NHouseHold_question_any_work","HouseHold_question__pg_Q__NHouseHold_question_animal_care",1
"HouseHold_question_pg___NHouseHold_question_any_work","HouseHold_question__pg_Q__NHouseHold_question_agricultural_wage",1
"HouseHold_question_pg___NHouseHold_question_any_work","HH___Any_work",1
"HouseHold_question__pg_Q__NHouseHold_question_agricultural_wage","HH____HH_ag_wages",1
"HouseHold_question__pg_Q__NHouseHold_question_nonagricultural_wage","HH____HH_nonagwages",1
"HH___N_in_HH","HH___N___in_HH",1
"HH___N_in_HH","HH___N___in_HH.2",1
"HH___N_in_HH","HH___N_married_women_in_HH",1
"HH___N_in_HH","HH__b_Ration_card_N_listed",1
"HH___N_in_HH","HH___Kerosene__PDS_lts",1
"HH___N_in_HH","HH___Vegetables__kg",1
"HH___N_in_HH","HH___N_in_hh",1
"HH___N_in_HH","HH___Farm_work_Primary",1
"HH___N_in_HH","HH___Busns",1
"HH___N___in_HH","HH___N___in_hh",1
"HH___N___in_HH.1","HH___N___in_hh.1",1
"HH___N___in_HH.2","HH___Edible_oil__Rs",1
"HH___N___in_HH.2","HH___Edible_oil__Rs.1",1
"HH___N___in_HH.2","HH___N___in_hh.2",1
"HH___N_married_women_in_HH","HH___N_in_HH",1
"HH___N_married_women_in_HH","HH___N_married_men_in_HH",1
"HH___N_married_women_in_HH","HH___N_married_women_in_hh",1
"HH___N_married_women_in_HH","HH___Busns.1",1
"HH___N_married_men_in_HH","HouseHold_question_pg___NHouseHold_question_any_work",1
"HH___N_married_men_in_HH","HH___N___in_HH.2",1
"HH___N_married_men_in_HH","HH___N_married_women_in_HH",1
"HH___N_married_men_in_HH","HH___N_married_men_in_hh",1
"Below_poverty_line.x","HH__a_Busns__Industry",1
"HH___Tehsil_taluka_code","District_codes_with_names.x",1
"HH___Tehsil_taluka_code","EH___Tehsil_Taluka_Code",1
"HH___Village_town_code","PSU__village_neighborhood_code.x",1
"HH___Village_town_code","EH_psu_Ch__School_PSU",1
"HH___Rural_Urban_slum","EH___Tehsil_Taluka_Code",1
"HH___Rural_Urban_slum","EH___Rural_Urban_Slum",1
"HH___Main_income_source","HH___Occ_head_s_father_husb",1
"HH___Main_income_source","HH__a_Busns__Industry",1
"HH___Main_income_source","HH__c_Loan_purpose",1
"HH___Main_income_source","HH__d_Netwk_Govt_Relation",1
